src/actividad3/Perecedero.java:57:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad3/ProductoMain.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/actividad3/ProductoMain.java:19:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'precio' is never used (overwritten on lines 34 and 44)
src/actividad3/ProductoMain.java:20:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'nombre' is never used (overwritten on lines 33 and 43)
src/actividad3/ProductoMain.java:23:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:24:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:25:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:26:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:27:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:28:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:29:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/actividad3/ProductoMain.java:30:	SwitchStmtsShouldHaveDefault:	SwitchStmtsShouldHaveDefault: Switch statements should be exhaustive, add a default case (or missing enum branches)
src/actividad3/ProductoMain.java:32:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ProductoMain.java:33:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/actividad3/ProductoMain.java:34:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/actividad3/ProductoMain.java:35:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'ProductoMain': 'anyadirProducto' is already in scope
src/actividad3/ProductoMain.java:43:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/actividad3/ProductoMain.java:44:	AvoidInstantiatingObjectsInLoops:	AvoidInstantiatingObjectsInLoops: Avoid instantiating new objects inside loops
src/actividad3/ProductoMain.java:45:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'ProductoMain': 'Eliminarproducto' is already in scope
src/actividad3/ProductoMain.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/ProductoMain.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/ProductoMain.java:55:	MethodNamingConventions:	MethodNamingConventions: The static method name 'Eliminarproducto' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad3/ProductoMain.java:66:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/ProductoMain.java:66:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/ProductoMain.java:68:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'producto' could be declared final
src/actividad3/Productos.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/actividad3/Productos.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/actividad3/Productos.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/Productos.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/Productos.java:21:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad3/Productos.java:21:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad3/Productos.java:30:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad3/Productos.java:35:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad3/Productos.java:35:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'cantidadProductos' is not assigned and could be declared final
src/actividad3/Productos.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/Productos.java:55:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad3/Productos.java:55:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad3/Productos.java:70:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/Productos.java:76:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'obj' is not assigned and could be declared final
src/actividad3/Productos.java:76:	MissingOverride:	MissingOverride: The method 'equals(Object)' is missing an @Override annotation.
src/actividad3/Productos.java:76:	OverrideBothEqualsAndHashcode:	OverrideBothEqualsAndHashcode: Ensure you override both equals() and hashCode()
src/actividad3/Productos.java:77:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'empleadoComparacion' could be declared final
src/actividad3/Productos.java:77:	LongVariable:	LongVariable: Avoid excessively long variable names like empleadoComparacion
src/actividad4/EjecutableProductos.java:6:	CommentRequired:	CommentRequired: Class comments are required
src/actividad4/EjecutableProductos.java:6:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/actividad4/EjecutableProductos.java:14:	LongVariable:	LongVariable: Avoid excessively long variable names like sumaElectrodomesticos
src/actividad4/EjecutableProductos.java:16:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'electrodomesticos' could be declared final
src/actividad4/EjecutableProductos.java:17:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'electrodomestico1' could be declared final
src/actividad4/EjecutableProductos.java:19:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'lavadora' could be declared final
src/actividad4/EjecutableProductos.java:21:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'lavadora2' could be declared final
src/actividad4/EjecutableProductos.java:23:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'television' could be declared final
src/actividad4/EjecutableProductos.java:25:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'television2' could be declared final
src/actividad4/EjecutableProductos.java:27:	ForLoopCanBeForeach:	ForLoopCanBeForeach: This for loop can be replaced by a foreach loop
src/actividad4/EjecutableProductos.java:29:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:31:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:32:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:33:	AvoidDuplicateLiterals:	AvoidDuplicateLiterals: The String literal ") $ " appears 5 times in this file; the first occurrence is on line 33
src/actividad4/EjecutableProductos.java:34:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:35:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:38:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/actividad4/EjecutableProductos.java:41:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/actividad4/EjecutableProductos.java:44:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/actividad4/EjecutableProductos.java:49:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:51:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:52:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:53:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/EjecutableProductos.java:55:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad4/Electrodomestico.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/actividad4/Electrodomestico.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/actividad4/Electrodomestico.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/actividad4/Electrodomestico.java:12:	FieldNamingConventions:	FieldNamingConventions: The field name 'consumoenergético' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad4/Electrodomestico.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/actividad4/Electrodomestico.java:18:	UncommentedEmptyConstructor:	UncommentedEmptyConstructor: Document empty constructor
src/actividad4/Electrodomestico.java:22:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad4/Electrodomestico.java:22:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'peso' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:22:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'preciobase' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:33:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad4/Electrodomestico.java:33:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'consumoenergético' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad4/Electrodomestico.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'color' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'consumoenergético' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'peso' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'preciobase' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:35:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
